ArtigoID,QuoteID,TipoQuote,Página_yaml,Página_match,score,exact,snippet
ART_004,Q004,Mecanismo,p.5,5,98.43,False,"Thus, BT adoption is vital for improving opera- tional efficiency and maintaining product integrity in the global petroleum SC."
ART_004,Q005,Outcome,p.3,3,98.7,False,RQ3: How can evaluation results from different decision- making methodologies be consolidated to provide an optimal unified perspective for OGSC managers?
ART_004,Q006,Limitação,p.11,11,99.12,False,"By tackling these limitations and chasing the proposed research directions, future work can expand upon the current findings and provide more ex- haustive, generalizable, and actio"
ART_004,Q007,Método,p.3,3,100.0,True,"Their study examined how blockchain strategies can mitigate these challenges, emphasizing optimization models tailored to man- age SC dynamics and technological uncertainties, but "
ART_004,Q008,Contexto,p.9,9,100.0,True,"The discussion demonstrates blockchain’s practical relevance in the O&G sector, provid- ing actionable insights and decision-making tools for industry professionals, with a focus o"
ART_005,Q001,Contexto,p.1,1,98.84,False,Fuel theft of oil pipelines is a concern faced by various countries and oil and gas companies due to its impact on the environment and the safety of neighboring communities.
ART_005,Q002,Mecanismo,p.2,2,98.45,False,"Applying these techniques will help optimize the company's handling of these suspected fuel theft events, avoiding sending unnecessary patrols to the site. Most importantly, the mo"
ART_005,Q003,Outcome,p.1,1,99.0,False,"The Random Forest obtained the best results in classifying alerts associated (or not) with an illegal tapping, showing accuracy, specificity, and sensitivities of 76.8%, 68.3%, and"
ART_005,Q004,Mecanismo,p.1,1,100.0,True,"In this problem, specificity implies reducing the sending of patrols to the field in 68.3% of circumstances, and sensitivity means that the model is a good predictor for positive c"
ART_005,Q005,Outcome,p.8,8,100.0,True,"Transpetro uses the developed predictive model, contributing to the reduction of on-site patrols, helping analysts to prioritize alerts, and improving the efficiency of patrol resp"
ART_005,Q006,Intervenção,p.1,1,100.0,True,"The factors that most highly influenced illegal tapping occurrences were the alert duration, previous events in the same area, and events during the night."
ART_005,Q007,Limitação,p.8,8,98.48,False,"The limitation of this study lies in the lack of integration between the databases used, which required us to perform them manually."
ART_005,Q008,Método,p.5,5,100.0,True,A matched case-control study was performed to solve the imbalance problem. The matched case-control study allowed us to find a specific and predefined number of negative alerts lik
ART_006,Q001,Contexto,p.1,1,99.38,False,6th International Conference on Recent Advances in Information Technology (RAIT) 2025 979-8-3315-2480-7/25/$31.00 ©2025 IEEE Assessing Sustainability Efforts and Greenwashing in Gl
ART_006,Q002,Intervenção,p.2,2,100.0,True,"Figure 1: Sequence Diagram of the Model The system processes ESG reports as text-based files (.pdf), cleans unnecessary words and tokenizes relevant texts, accordingly, analyses th"
ART_006,Q003,Método,p.6,6,100.0,True,"Luo, “Small Data Challenges in Big Data Era: A Survey of Recent Progress on Unsupervised and Semi-Supervised Methods,” IEEE Transactions on Pattern Analysis and Machine Intelligenc"
ART_006,Q004,Outcome,p.4,4,99.26,False,Table 4: Performance Metrics Streamwise and Feature wise Performance Metrics Upstream Midstream Downstream OGSC EC GW EC GW EC GW EC GW Accuracy 0.80 0.80 1 0.80 0.80 1 0.87 0.87 P
ART_006,Q005,Outcome,p.4,4,100.0,True,"The performance of proposed framework has been examined thoroughly under the metrics of accuracy, precision, recall, F1 score, Receiver Operating Characteristic Area Under the Curv"
ART_006,Q006,Outcome,p.2,2,99.4,False,Table 1: Feature Selection under Different Supply Chain Stages for Sustainability Efforts and Greenwashing Detection Supply Chain Stage Feature Selection for Sustainability Efforts
ART_006,Q007,Outcome,p.2,2,100.0,True,"Table 2: Module Details for the Proposed Framework Module Module Name Activities 1 Data Extraction Module Raw text data has been extracted from the ESG reports with .pdf extension,"
ART_006,Q008,Outcome,p.4,4,100.0,True,Figure 2 represents comparison of such performance metrics across different supply chain stages by combining EC and GW together to showcase overall robustness of the proposed frame
ART_007,Q001,Contexto,p.5,5,100.0,True,"Concept V: Strategic Sourcing and Category Management Strategic sourcing and category management form an integral part of efficient supply chain management, particularly in the con"
ART_007,Q002,Método,p.2,2,100.0,True,"Methodology – The How Establishing a ""Best-In-Class"" Supply Chain organization is often a complex endeavor, with no universal formula for success."
ART_007,Q003,Outcome,p.2,2,100.0,True,"Companies that can meet these ESG goals and emission reduction targets have the potential to trade at higher valuations, ultimately contributing to improved financial performance a"
ART_007,Q004,Contexto,p.1,1,100.0,True,Abstract The oil and gas industry operates in a complex and challenging environment with significant supply chain management risks.
ART_007,Q005,Contexto,p.1,1,100.0,True,This paper aims to provide a comprehensive review of these risks and proposes strategies to create a best-in-class supply chain practice using Industry 4.0 technologies.
ART_007,Q006,Contexto,p.1,1,100.0,True,"Theme I: The Indispensable Shift towards Strategic Supply Chain Management In an era characterized by unstable market dynamics, such as the fluctuating West Texas Intermediate (WTI"
ART_007,Q007,Contexto,p.9,9,100.0,True,"By adopting the concepts and strategies discussed in this paper, the oil and gas industry can modernize its supply chain, achieve operational excellence, and gain a competitive adv"
ART_008,Q001,Intervenção,p.10,10,98.93,False,"Motivated by the complexity and global heterogeneity of crude trade, a network-based approach is used to model the locations, speciﬁcations and trade relationships of supply chain "
ART_008,Q002,Método,p.10,10,98.63,False,"Accordingly, we adopt a methodology that preserves the pathwaylevel resolution in the supply chain (i.e., granular routes from oil ﬁelds to reﬁneries) and is modular in order to ha"
ART_008,Q003,Outcome,p.10,10,100.0,True,"Nonetheless, more data about gathering and boosting infrastructure and fugitive emissions measurements could help improve the accuracy of OPGEE and hence the results of this study "
ART_008,Q004,Outcome,p.1,1,98.7,False,"Future projections under 1.5 °C climate scenarios range from plateauing to decreasing supply, corresponding to up to 40% reduction from present levels1–4."
ART_008,Q005,Outcome,p.1,1,99.26,False,"Although regulatory efforts such as the Low Carbon Fuel Standard (LCFS) by the California Air Resources Board (CARB), the Fuel Quality Directive by European regulators, and the COR"
ART_008,Q006,Outcome,p.10,10,99.22,False,"For example, in the U.S., where the crude rail network is relatively more mature, rail, barges and trucks combined represent ~10% of the total crude transport based on intake recei"
ART_008,Q007,Outcome,p.4,4,99.1,False,"The global volume-weighted midstream CI of 5.37 kg-CO2eq/bbl, as shown in the sub-ﬁgure, contributes ~10% to the well-to-reﬁnery-entrance emissions (refer to Supplementary Note 8 f"
ART_008,Q008,Outcome,p.10,10,100.0,True,They are speciﬁcally designed to generate life cycle CO2eq estimates that are actionable from a policy perspective through incentives for improved emissions reporting and best prac
ART_009,Q001,Contexto,p.5,5,100.0,True,Despite the above advantages and a good foundation for the construction of an offshore intelligent oilfield production monitoring system in the X oil and gas field production opera
ART_009,Q002,Intervenção,p.6,6,99.5,False,"Based on the company's unified data management standards and information system construction requirements, the construction approach is centered on ‘cloudification + platformizatio"
ART_009,Q003,Método,p.14,14,100.0,True,"By integrating various types of geological data and dynamic monitoring data, applying professional geological reservoir research methods, and linking geological reservoir data, alg"
ART_009,Q004,Mecanismo,p.7,7,100.0,True,"It enables two-dimensional and three-dimensional comprehensive displays of reservoirs, well networks, production processes, and facilities, thereby building capabilities for real-t"
ART_009,Q005,Outcome,p.20,20,100.0,True,This trailblazing endeavor is contributing towards an increased production and a reduction in operational and maintenance expenses by 10% for the oil and gas field.
ART_009,Q006,Intervenção,p.1,1,99.26,False,"The data service system encompasses four subsystems: (I) Production management, encompassing remote operation monitoring, production dynamic tracking, reservoir dynamic management,"
ART_009,Q007,Intervenção,p.5,5,99.26,False,"To further reduce the construction cost and development difficulty of the offshore intelligent oilfield production monitoring system, we adopted an implementation strategy based on"
ART_010,Q001,Contexto,p.3,3,100.0,True,"Therefore, the main center focused on the study of algorithms in the context of ML After completing the clustering using network data enveloping analysis, inputs and outputs were e"
ART_010,Q002,Intervenção,p.2,2,100.0,True,"By integrating DEA with various modeling approaches and frameworks, researchers have been able to provide valuable insights into enhancing sustainability practices in industries th"
ART_010,Q003,Método,p.25,25,100.0,True,"For future research and the continuation of the present study, in addition to exploring modeling techniques such as Dynamic Network Data Envelopment Analysis (DNDEA) with a sustain"
ART_010,Q004,Outcome,p.1,1,100.0,True,The results showed that the use of clustering for assessing the relative efficiency of units compared to the non-clustering method with DEA could averagely reduce 18% of the distan
ART_010,Q005,Outcome,p.5,5,100.0,True,Other related papers improved the SSCM using a hierarchical grey-Decision Making Trial and Evaluation Laboratory NN؛54% SVM؛21% LR؛5% DT؛4% ELM؛4% NBC؛4% KNN؛2% RF؛ 2% ESM؛2% k-Mea
ART_010,Q006,Outcome,p.24,24,99.42,False,Error Mean 95% Confidence Interval of the Difference t df Sig (2Tailed) Lower Upper Pair 1 -0.0988 0.1639 0.0310 -0.1623 -0.0352 -3.190 27 0.004 Pair 2 -0.1080 0.1539 0.0290 -0.167
ART_010,Q007,Método,p.18,18,100.0,True,"In the next step, after determining the best clustering algorithm for the dataset of the case study, the relative efficiency of DMUs placed in each cluster based on the network dat"
ART_010,Q008,Método,p.25,25,100.0,True,"The current research study placed particular emphasis on the role of data science in the domain of SCM as part of the research methodology, specifically delving into the utilizatio"
ART_011,Q001,Contexto,p.1,1,99.26,False,"INTRODUCTION In the petrochemical industry, intelligent decision making involving resource trade, production planning, resource inventory, and risk management is of paramount impor"
ART_011,Q002,Intervenção,p.4,4,100.0,True,"The system dynamics prediction model (SD) is the best approach to understanding the dynamic behavior of complex problems with time using ﬂows, loops, and time delays."
ART_011,Q003,Método,p.6,6,100.0,True,"All the selected factors, which are historical monthly data from May 2009 to December 2010, are used for training the prediction models (MLR, ANN, and SD) to predict future prices "
ART_011,Q004,Outcome,p.1,1,100.0,True,"As a result, the optimal production planning using the proposed model enabled the improvement of the total sales by 5.50% and the operating proﬁt by 13.8% in comparison with the BA"
ART_011,Q005,Outcome,p.6,6,100.0,True,"In this study, the accuracy of naphtha price prediction is approximately 82.3%, as shown in Figure 3."
ART_011,Q006,Outcome,p.6,6,100.0,True,"In particular, the paper trade in the month with relative low prediction accuracy resulted in a negative proﬁt.26 For instance, the loss by paper trading is the highest in February"
ART_011,Q007,Contexto,p.1,1,99.26,False,"For instance, a new mathematical optimization model was developed to ensure the maximum business proﬁt in the Norwegian petrochemical industry.2 The mixed integer linear programmin"
ART_011,Q008,Outcome,p.4,4,99.26,False,"= + OC TUC THC t (8) = U UR UT r c i r c i r c i , , , , , , (9) ∑∑∑ = ∈ ∈ ∈ U TSc r R c C i I r c i , , (10) ∑∑∑ = ∈ ∈ ∈ TUC UT UC r c i r R c C i I r c i , , , , (11) where Ur,c,"
ART_012,Q001,Contexto,p.1,1,99.53,False,"Oil and gas pipelines are lifelines for a country's economic survival. As a result, they must be closely monitored to maximize their performance and avoid product losses in the tra"
ART_012,Q002,Mecanismo,p.1,1,100.0,True,The developed model can help pipeline operators and decision makers detect different failure sources in pipelines and prioritize the required maintenance and replacement actions.
ART_012,Q003,Intervenção,p.1,1,98.28,False,"To address these inefficiencies, this study develops a model that anticipates sources of failure in oil pipelines based on specific factors related to pipe diameter and age, servic"
ART_012,Q004,Outcome,p.1,1,100.0,True,"With an average validity of 84% for the MLP, 85% for the RBF, and 81% for the MNL, the models can forecast pipeline failures owing to corrosion and third-party activities."
ART_012,Q005,Método,p.7,7,99.46,False,"The data included 49 years of spillage data dating back to 1971, as well as 36,000 km of pipelines transporting 620 million m³ of crude oil and petroleum products per year across E"
ART_012,Q006,Outcome,p.13,13,100.0,True,"This implies that the proposed MLP, RBF, and MNL models enhanced the AVP value reported in the literature by 15.4%, 16.8%, and 11.3%, respectively."
ART_012,Q007,Limitação,p.12,12,100.0,True,"However, the prediction accuracy of models could have been compromised due to the non-availability of some important factors (e.g., thickness, operating pressure, and yield strengt"
ART_012,Q008,Mecanismo,p.13,13,100.0,True,The MLP and RBF models outperform the MNL regression model in terms of accuracy because they take into account the nonlinear relationship between the dependent and independent vari
ART_013,Q001,Intervenção,p.5,5,100.0,True,"Efficiency: The operator optimization model increased the route efficiency (actions completed per hours billed) by 31%, allowing technicians to dedicate more time to task execution"
ART_013,Q002,Intervenção,p.5,5,100.0,True,"Safety: Delinquent incidents are reduced by 61%, attributed to improved task prioritization and adherence to safety protocols. Production uptime: Forecasting methods identify poten"
ART_013,Q003,Intervenção,p.1,1,99.4,False,"Key innovations include Fibonacci prioritization for task scoring, K-means clustering for spatial analysis, and creating a Prophet model to predict production trends."
ART_013,Q004,Intervenção,p.5,5,100.0,True,"Efficiency: The operator optimization model increased the route efficiency (actions completed per hours billed) by 31%, allowing technicians to dedicate more time to task execution"
ART_013,Q005,Intervenção,p.5,5,100.0,True,"Safety: Delinquent incidents are reduced by 61%, attributed to improved task prioritization and adherence to safety protocols. Production uptime: Forecasting methods identify poten"
ART_013,Q006,Intervenção,p.1,1,99.4,False,"Key innovations include Fibonacci prioritization for task scoring, K-means clustering for spatial analysis, and creating a Prophet model to predict production trends."
ART_013,Q007,Intervenção,p.5,5,100.0,True,"Challenges such as data integration and computational requirements remain, though continuous improvements and advancements in scalability indicate the broad applicability of the mo"
ART_014,Q001,Contexto,p.1,1,100.0,True,"The findings of this paper demonstrate the value of the mud motor PHM solution for the oil and gas industry by providing accurate prognosis of power section health, leading to redu"
ART_014,Q002,Intervenção,p.1,1,100.0,True,It's based on a high-fidelity model and uses a hybrid approach by combining a high-fidelity physics-based model of a power section and data-driven approaches with machine learning 
ART_014,Q003,Método,p.1,1,100.0,True,The new methodology was tested in the field with great success.
ART_014,Q004,Outcome,p.1,1,100.0,True,"The result was outstanding, with the initial deployment bringing about 27% of projected yearly maintenance savings and 10% of projected yearly failure reduction."
ART_014,Q005,Outcome,p.12,12,100.0,True,The result was outstanding with the initial deployment bringing about 27% of projected yearly maintenance savings and 10% of projected yearly failure reduction.
ART_014,Q006,Outcome,p.1,1,100.0,True,Comparison of the predicted mud motor fatigue values with the actual observed post-job conditions and job failures demonstrated high fidelity of the developed models.
ART_015,Q001,Contexto,p.2,2,100.0,True,Introduction and background: The ever-growing global competition and enormously uncertain business environment are causing a modern supply chain (SC) to become vulnerable and hence
ART_015,Q002,Intervenção,p.5,5,99.25,False,"(2017) Delphi TOPSIS Fuzzy Kitchen appliance Note(s): AHP, analytical hierarchical process; ANP, analytical network process; CBR, case based reasoning; DEMATEL, decision-making tri"
ART_015,Q003,Método,p.20,20,100.0,True,"However, a wide range of experimental surveys need to be conducted in the future to increase the generalizability and evaluate the benefits of application of the proposed DSS."
ART_015,Q004,Outcome,p.20,20,100.0,True,"5.2 Managerial propositions Based on the results obtained from the proposed research work, we have introduced the following managerial propositions (MPs), which will provide critic"
ART_015,Q005,Outcome,p.2,2,100.0,True,"A practical implementation of supply chain risk management (SCRM) improves not only the financial performance of the firm (Fan et al., 2017) but also the manufacturing effectivenes"
ART_015,Q006,Outcome,p.10,10,100.0,True,"4.1 Description and introduction about the case With a daily demand of 4.1 million barrel, India is the third largest consumer of crude oil and petroleum products globally accounti"
ART_015,Q007,Outcome,p.1,1,100.0,True,"SC managers’ preparedness to face risk, organization’s resource capability to deal with risk and the sophistication of the implementation of the RM enablers; with explained varianc"
ART_015,Q008,Outcome,p.15,15,100.0,True,"As shown in Figure 7, the results further indicate that supply incentives, flexible logistics and strategic stocking are three topmost preferred RMEs under risk “mitigation” strate"
ART_016,Q001,Intervenção,p.8,8,100.0,True,"Data utilization from EPC documents is relatively easy because we can channelize or neutralize documents data with TXT, CSV or XML file formats, but neutralizing data from 2D and 3"
ART_016,Q002,Método,p.9,9,100.0,True,"Digital twin life span should not be haunted by the ghost of mortality e.g., inaccessibility after 10 or more years or unavailable data links to get required data easily from relat"
ART_016,Q003,Outcome,p.3,3,100.0,True,"Smart P&ID Role in Digital Twin During the pre-digital twin era, smart drawings and 3D models have produced remarkable results."
ART_016,Q004,Outcome,p.8,8,100.0,True,"Proposed Solutions CFIHOS (Capital Facilities Information Handover Specifications), ISO 8601 and ASCII-based format (American Standard Code for Information) ISO 10303 standards may"
ART_016,Q005,Intervenção,p.9,9,100.0,True,"In the later stages of any running processing plant when revamping is required, then revision and scope clouds intelligent entry in the smart P&IDs system and tailor-made solutions"
ART_017,Q001,Contexto,p.1,1,100.0,True,Mark Howells Keywords: Blockchain adoption Decision-making Network data envelopment analysis Energy industry Oil and gas supply chain A B S T R A C T The Oil and Gas (O&G) sector i
ART_017,Q002,Intervenção,p.13,13,100.0,True,"The research integrates data-driven models and optimization strategies into a framework that is computationally effi­ cient, making it well-suited for practical use in production a"
ART_017,Q003,Método,p.15,15,100.0,True,"This form of uncertainty allows for a more efficient treatment of qualitative data; e.g., expert evaluations or stakeholder opinions, thereby improving the models’ adaptability."
ART_017,Q004,Mecanismo,p.13,13,100.0,True,"Blockchain technology provides significant benefits in terms of improved transparency, traceability and operational efficiency, key components of contemporary production systems, a"
ART_017,Q005,Outcome,p.13,13,100.0,True,"The evaluation results presented in Table 5 demonstrate the effectiveness of various strategies, including single-use, substitution, and localization, for optimizing production and"
ART_017,Q006,Limitação,p.5,5,100.0,True,"Limited Information Technology Infrastructure Infrastructure constraints, including cost implications, computational capacity, and transaction volume, impact the implementation lan"
ART_017,Q007,Intervenção,p.5,5,100.0,True,We introduce a hybrid framework that combines data-based and optimization- based approaches and incorporates real-world factors for a more accurate evaluation of blockchain deploym
ART_017,Q008,Outcome,p.1,1,100.0,True,"The findings demonstrate that “single-use strategy” is effective in low-risk scenarios, while “substitution strategy” is optimal in high-risk scenarios."
ART_018,Q001,Intervenção,p.3,3,100.0,True,"On this basis, a comprehensive system model of refined oil logistics transportation scheduling is built, and a hybrid network scheduling mode is adopted to carry out transportation"
ART_018,Q002,Método,p.2,2,100.0,True,"Big data information fusion method is used to optimize the dynamic planning and transportation mode of refined oil logistics and transportation scheduling, and the spatial dynamic "
ART_018,Q003,Outcome,p.3,3,99.26,False,"Suppose the dynamic constraint parameter model of product oil logistics and transportation scheduling is ݔ= {ݔଵ௝, ݔଶ௝, ⋯⋯, ݔ௜௝}௧, then in the dynamic interval, the normalized ortho"
ART_018,Q004,Outcome,p.3,3,99.26,False,"Combined with the boundary value periodic solution and dynamic constraint parameter model, the input parameters of oil logistics transportation scheduling are adjusted, namely: ݂= "
ART_018,Q005,Outcome,p.3,3,99.26,False,"In the normalized linear subspace, there exists the concept set of transportation scheduling of refined oil logistics: ܨ(ݔ) = ܥ∑ே ௜ୀଵ ݔ௜௝+ ߪݐ (3) With the increase in the number of"
ART_018,Q006,Outcome,p.2,2,100.0,True,"The simulation results show that this method has good adaptability to transport scheduling of refined oil logistics, and the transportation efficiency of refined oil logistics is i"
ART_018,Q007,Outcome,p.2,2,100.0,True,Series: Earth and Environmental Science 769 (2021) 042119 IOP Publishing doi:10.1088/1755-1315/769/4/042119 1 Energy Commodity Logistics Planning method based on Machine Learning m
ART_018,Q008,Outcome,p.3,3,100.0,True,"Firstly, the spatial planning model of refined oil logistics transportation scheduling is described as follows: ܥ= ௧௦ାଵ ఒ௦ାଵ (1) Among them, t represents the average transportation"
ART_019,Q001,Contexto,p.2,2,100.0,True,"EAGE Workshop on Data Science 17-18 October 2023 • Kuala Lumpur, Malaysia Introduction The supply chain within the oil and gas industry is renowned for its intricate nature and the"
ART_019,Q002,Intervenção,p.2,2,100.0,True,"To address the aforementioned issues, this study proposed employing predictive analytics with a combination of statistical approaches and machine learning models to predict purchas"
ART_019,Q003,Método,p.1,1,100.0,True,"The proposed methodology follows a defined process, including project definition, data collection, data analysis, statistical analysis, modelling, deployment, and model monitoring."
ART_019,Q004,Outcome,p.3,3,100.0,True,Regression Models R2 Score XGBoost 0.818 Ordinary Least Squares (OLS) 0.418 Lasso (L1) Regression 0.409 Ridge (L2) Regression 0.417 Isolation Forest 0.577 K Nearest Neighbors (KNN)
ART_019,Q005,Outcome,p.1,1,100.0,True,"(2022), predictive analytics utilizes data, statistical techniques, and machine learning algorithms to predict future events and trends, ultimately improving organizational perform"
ART_019,Q006,Contexto,p.1,1,100.0,True,Lasker (2022) conducted a comprehensive study to examine the challenges of the industry’s supply chain and the potential of data analytics to improve its performance.
ART_019,Q007,Outcome,p.2,2,100.0,True,"Three years of historical data (2019-2021) are used to train the model, while a test set including more recent data (2022) is used for evaluating model performance."
ART_019,Q008,Intervenção,p.2,2,100.0,True,"The existing approaches utilized in UoA prediction fail to provide a systematic framework that ensures accuracy, scalability, and sustainability in the long run."
ART_020,Q001,Contexto,p.3,3,100.0,True,"Compa- nies in this sector navigate extensive, multinational supply chains that often involve remote and challenging locations, where accurate lead time estimation becomes essentia"
ART_020,Q002,Intervenção,p.2,2,100.0,True,"To overcome these challenges, this study integrates Busi- ness Intelligence (BI) and Machine Learning (ML) within the CRISP-DM framework to develop a robust, data-driven model capa"
ART_020,Q003,Método,p.2,2,100.0,True,"The fourth section describes the methodology, including the rationale for select- ing CRISP-DM as the guiding framework, the unique chal- lenges posed by the oil and gas industry, "
ART_020,Q004,Mecanismo,p.16,16,100.0,True,"This enables logistics managers to align decisions with broader business goals, optimizing resources, reducing lead times, and improving customer satisfaction, all of which contrib"
ART_020,Q005,Outcome,p.4,4,100.0,True,"Random forests address this issue by averaging results across multiple decision trees, improving accuracy and effectively handling high-dimensional data in dynamic supply chains."
ART_020,Q006,Limitação,p.17,17,100.0,True,"One key limitation is the dataset’s time scope, restricted to the year 2022, which may not capture seasonal or year-to-year variations that impact import lead times."
ART_020,Q007,Método,p.2,2,100.0,True,"The third section presents the research model, outlining the use of BI, ML, and the CRISP-DM methodology in supply chain analytics while detailing the specific machine learning mod"
ART_020,Q008,Método,p.6,6,100.0,True,"This section explains the rationale for selecting the CRISP-DM methodology, details the case selection pro- cess, addresses data challenges, and describes other critical methodolog"
ART_021,Q001,Intervenção,p.2,2,100.0,True,The failures in the ESP system are classified based on the following parameters: – Mechanical type failures – Electrical type failures – Well failures Machine Learning Approach ESP
ART_021,Q002,Método,p.12,12,100.0,True,Data exploration through the visualization of parameters in time series and the association matrix allows to understand the relationships of the parameters in an analytical way.
ART_021,Q003,Outcome,p.1,1,100.0,True,This paper discusses the advantages of predicting failures in ESP pumps with performance greater than 60%.
ART_021,Q004,Outcome,p.2,2,99.26,False,"This is the result of a low resistance of the motors to temperatures higher than 400°F generating overheating, high tendency to Downthrust and Upthrust due to inefficient designs, "
ART_021,Q005,Outcome,p.2,2,100.0,True,"This is also the ALS with the widest production range, with availability to work different casing diameters and a financial benefit up to 90% based on volumetric efficiency."
ART_021,Q006,Outcome,p.2,2,100.0,True,"According to (Long Peng et al., 2021), electrical submersible pumps (ESP) are one of the most widely employed ALS, accounting for over 60% of the global oil production."
ART_021,Q007,Outcome,p.2,2,100.0,True,2 SPE-213140-MS Introduction Over 90% of producer wells in the world require an artificial lift system (ALS).
ART_022,Q001,Contexto,p.10,10,100.0,True,"10 SPE-217024-MS AI and digital solutions serve as the backbone of the platform, effectively addressing the industry's perennial challenges, such as operational inefficiencies, saf"
ART_022,Q002,Intervenção,p.9,9,100.0,True,"Discussion on the Systems Approach to Cargo Planning Cargo planning is a critical aspect of supply chain management, particularly in the offshore sector, where the movement of good"
ART_022,Q003,Método,p.2,2,100.0,True,"The system aims to streamline the supply chain process, provide a more flexible logistics method to the oil and gas industry, reduce costs, and improve efficiency through a strateg"
ART_022,Q004,Outcome,p.8,8,100.0,True,"This efficiency has led to a significant reduction in distance travelled, from 1,070 nautical miles to 527 nautical miles, a reduction of 51%, saving 68 hours of sailing time."
ART_022,Q005,Outcome,p.2,2,100.0,True,2 SPE-217024-MS The use of integrated logistics in the offshore sector has resulted in an overall cost reduction of 23% on the shipment of goods and a reduction of CO2 emissions by
ART_022,Q006,Outcome,p.8,8,100.0,True,"The case study also reports a reduction of CO2 emissions from 250 MT to 159 MT, amounting to a total reduction of 91 MT or 36%."
ART_022,Q007,Contexto,p.2,2,100.0,True,The offshore sector within the oil and gas industry presents unique challenges.
ART_023,Q001,Contexto,p.1,1,100.0,True,"Digital transformation in procurement uses artificial intelligence, big data, market intelligence, etc. to create self-learning systems; for the procurement of goods and services. "
